ppm,Treatment,Block,Sub group,Herbicide,Depth,Week
0.000913,4,2,c,dicamba,1,3
0.0038005,4,2,c,dicamba,2,3
0.002203,1,3,a,dicamba,1,3
0.003573,1,3,a,dicamba,2,3
0.000913,1,3,b,dicamba,1,3
0.007763,1,3,b,dicamba,2,3
0.002158,1,3,c,dicamba,1,3
0.002763,1,3,c,dicamba,2,3
0.000913,2,3,a,dicamba,1,3
0.000913,2,3,a,dicamba,2,3
0.001853,2,3,b,dicamba,1,3
0.0037755,2,3,b,dicamba,2,3
0.000913,2,3,c,dicamba,1,3
0.0024105,2,3,c,dicamba,2,3
0.0023705,3,3,a,dicamba,1,3
0.0046605,3,3,a,dicamba,2,3
0.0027005,3,3,b,dicamba,1,3
0.0043855,3,3,b,dicamba,2,3
0.0040805,3,3,c,dicamba,1,3
0.0113855,3,3,c,dicamba,2,3
0.0065255,4,3,a,dicamba,1,3
0.0050255,4,3,a,dicamba,2,3
0.003453,4,3,b,dicamba,1,3
0.003713,4,3,b,dicamba,2,3
0.003313,4,3,c,dicamba,1,3
0.0033905,4,3,c,dicamba,2,3
0.50531,1,1,a,s-metolachlor,1,3
0.3280975,1,1,a,s-metolachlor,2,3
0.33345875,1,1,b,s-metolachlor,1,3
0.92055875,1,1,b,s-metolachlor,2,3
0.37729375,1,1,c,s-metolachlor,1,3
0.62659375,1,1,c,s-metolachlor,2,3
0.4755075,2,1,a,s-metolachlor,1,3
0.64927,2,1,a,s-metolachlor,2,3
0.35979625,2,1,b,s-metolachlor,1,3
0.6597175,2,1,b,s-metolachlor,2,3
0.538,2,1,c,s-metolachlor,1,3
1.1085975,2,1,c,s-metolachlor,2,3
0.36121125,3,1,a,s-metolachlor,1,3
0.5102375,3,1,a,s-metolachlor,2,3
0.361975,3,1,b,s-metolachlor,1,3
0.84873125,3,1,b,s-metolachlor,2,3
0.30817125,3,1,c,s-metolachlor,1,3
0.61413625,3,1,c,s-metolachlor,2,3
0.32385875,4,1,a,s-metolachlor,1,3
0.6858175,4,1,a,s-metolachlor,2,3
0.3697825,4,1,b,s-metolachlor,1,3
0.57402,4,1,b,s-metolachlor,2,3
0.36167375,4,1,c,s-metolachlor,1,3
1.09168375,4,1,c,s-metolachlor,2,3
0.544115,1,2,a,s-metolachlor,1,3
0.6145575,1,2,a,s-metolachlor,2,3
0.38966375,1,2,b,s-metolachlor,1,3
1.37891,1,2,b,s-metolachlor,2,3
0.5537875,1,2,c,s-metolachlor,1,3
0.743555,1,2,c,s-metolachlor,2,3
0.35503875,2,2,a,s-metolachlor,1,3
0.80088625,2,2,a,s-metolachlor,2,3
0.33053,2,2,b,s-metolachlor,1,3
0.74999,2,2,b,s-metolachlor,2,3
0.40708375,2,2,c,s-metolachlor,1,3
0.712635,2,2,c,s-metolachlor,2,3
0.33631125,3,2,a,s-metolachlor,1,3
0.51269875,3,2,a,s-metolachlor,2,3
0.402645,3,2,b,s-metolachlor,1,3
0.78879625,3,2,b,s-metolachlor,2,3
0.3713075,3,2,c,s-metolachlor,1,3
0.5012475,3,2,c,s-metolachlor,2,3
0.4423725,4,2,a,s-metolachlor,1,3
0.68435625,4,2,a,s-metolachlor,2,3
0.28368375,4,2,b,s-metolachlor,1,3
0.8099575,4,2,b,s-metolachlor,2,3
0.28371625,4,2,c,s-metolachlor,1,3
0.69525375,4,2,c,s-metolachlor,2,3
0.33527875,1,3,a,s-metolachlor,1,3
0.5971675,1,3,a,s-metolachlor,2,3
0.45274875,1,3,b,s-metolachlor,1,3
0.8063925,1,3,b,s-metolachlor,2,3
0.2611425,1,3,c,s-metolachlor,1,3
0.43385375,1,3,c,s-metolachlor,2,3
0.29119625,2,3,a,s-metolachlor,1,3
0.3943975,2,3,a,s-metolachlor,2,3
0.3952225,2,3,b,s-metolachlor,1,3
0.726905,2,3,b,s-metolachlor,2,3
0.47881375,2,3,c,s-metolachlor,1,3
0.58133875,2,3,c,s-metolachlor,2,3
0.4208925,3,3,a,s-metolachlor,1,3
0.48742875,3,3,a,s-metolachlor,2,3
0.4078325,3,3,b,s-metolachlor,1,3
0.5192975,3,3,b,s-metolachlor,2,3
0.3068275,3,3,c,s-metolachlor,1,3
0.7514725,3,3,c,s-metolachlor,2,3
0.35116625,4,3,a,s-metolachlor,1,3
0.4205675,4,3,a,s-metolachlor,2,3
0.36580125,4,3,b,s-metolachlor,1,3
0.62840625,4,3,b,s-metolachlor,2,3
0.50067375,4,3,c,s-metolachlor,1,3
0.42974,4,3,c,s-metolachlor,2,3
0.242325,1,1,a,s-metolachlor,1,4
0.5558125,1,1,a,s-metolachlor,2,4
0.2218575,1,1,b,s-metolachlor,1,4
0.55690125,1,1,b,s-metolachlor,2,4
0.20748375,1,1,c,s-metolachlor,1,4
0.5477875,1,1,c,s-metolachlor,2,4
0.2658975,2,1,a,s-metolachlor,1,4
0.39397625,2,1,a,s-metolachlor,2,4
0.19833125,2,1,b,s-metolachlor,1,4
0.20537375,2,1,b,s-metolachlor,2,4
0.401325,2,1,c,s-metolachlor,1,4
0.55703,2,1,c,s-metolachlor,2,4
0.23052,3,1,a,s-metolachlor,1,4
0.8450175,3,1,a,s-metolachlor,2,4
0.25387,3,1,b,s-metolachlor,1,4
0.5372725,3,1,b,s-metolachlor,2,4
0.3064175,3,1,c,s-metolachlor,1,4
0.56330375,3,1,c,s-metolachlor,2,4
0.23309625,4,1,a,s-metolachlor,1,4
0.653395,4,1,a,s-metolachlor,2,4
0.2554575,4,1,b,s-metolachlor,1,4
0.6185825,4,1,b,s-metolachlor,2,4
0.32795375,4,1,c,s-metolachlor,1,4
0.5328575,4,1,c,s-metolachlor,2,4
0.29043625,1,2,a,s-metolachlor,1,4
0.5900375,1,2,a,s-metolachlor,2,4
0.36659625,1,2,b,s-metolachlor,1,4
0.27221625,1,2,b,s-metolachlor,2,4
0.32701375,1,2,c,s-metolachlor,1,4
0.46350625,1,2,c,s-metolachlor,2,4
0.322675,2,2,a,s-metolachlor,1,4
0.568695,2,2,a,s-metolachlor,2,4
0.31293125,2,2,b,s-metolachlor,1,4
0.4234025,2,2,b,s-metolachlor,2,4
0.21285,2,2,c,s-metolachlor,1,4
0.532695,2,2,c,s-metolachlor,2,4
0.30693375,3,2,a,s-metolachlor,1,4
0.4590275,3,2,a,s-metolachlor,2,4
0.26488625,3,2,b,s-metolachlor,1,4
0.679175,3,2,b,s-metolachlor,2,4
0.2155925,3,2,c,s-metolachlor,1,4
0.66671625,3,2,c,s-metolachlor,2,4
0.238535,4,2,a,s-metolachlor,1,4
0.68997375,4,2,a,s-metolachlor,2,4
0.28691625,4,2,b,s-metolachlor,1,4
0.75621,4,2,b,s-metolachlor,2,4
0.2880675,4,2,c,s-metolachlor,1,4
0.5420225,4,2,c,s-metolachlor,2,4
0.33158,1,3,a,s-metolachlor,1,4
0.7358775,1,3,a,s-metolachlor,2,4
0.21723,1,3,b,s-metolachlor,1,4
0.47824375,1,3,b,s-metolachlor,2,4
0.30457625,1,3,c,s-metolachlor,1,4
0.28867125,1,3,c,s-metolachlor,2,4
0.4655275,2,3,a,s-metolachlor,1,4
0.6460175,2,3,a,s-metolachlor,2,4
0.3728375,2,3,b,s-metolachlor,1,4
0.67078875,2,3,b,s-metolachlor,2,4
0.34750125,2,3,c,s-metolachlor,1,4
0.59079125,2,3,c,s-metolachlor,2,4
0.27016625,3,3,a,s-metolachlor,1,4
0.75758375,3,3,a,s-metolachlor,2,4
0.3002875,3,3,b,s-metolachlor,1,4
0.67517875,3,3,b,s-metolachlor,2,4
0.37954875,3,3,c,s-metolachlor,1,4
0.48481375,3,3,c,s-metolachlor,2,4
0.20017875,4,3,a,s-metolachlor,1,4
0.3307425,4,3,a,s-metolachlor,2,4
0.3557775,4,3,b,s-metolachlor,1,4
0.6342825,4,3,b,s-metolachlor,2,4
0.274435,4,3,c,s-metolachlor,1,4
